date,Isai,The King,SilentSpectre,The GERM,Bob$,LunInSpectre,Foxroar,Tang,The Snap,Hyuga,ShadowBTZO,Falcomist,Hella,Frotaz,Kizzo,Nekurbis,Simna,Geo,Kawn,KFC,Zoap,Dark Mike,Bernard,SideFX,Kev$,Pink Shinobi,Phil,Lucien,HMW,Zeldgadis,Shroomed,Replicate,Mikkuz,Scamp,Meep,DC,Zhu,Azn_Danny,Narf,Alan,Azusa,Berto,Bizzarro Flame,BlueFoxXT,Chokanter,DarkAtma,Darrell,Delphiki,DP,gaR,Hyprid,Ky,L,Laudandus,Lord,Mackadotious,Mexican,MooniniteLeader,Mr. Ganondorf,Nemesis,Nima,NMW,PewPewU,PockyD,Ralph,Scar,SFAT,Tafokints,Tofu,Toph,YCZ6,ZeldaFreak,Moose,Nintendude,Cactuar,Kaklamazhu,Coolkid,Frootloop,Spark,Boulevard,s0ft,Rocky,dizzkidboogie,Chris Best,Zorc,Reno,Kira,DiplomaticTucan,Umarth,Wavebringer,Azel,Kevbot,Rymo
9/26/2006,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2006,1.0,2.0,3.0,5.0,8.0,4.0,7.0,9.0,,10.0,13.0,12.0,11.0,14.0,19.0,18.0,16.0,15.0,,20.0,21.0,,25.0,23.0,,,,,,6.0,,,17.0,22.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/3/2007,1.0,2.0,3.0,5.0,8.0,4.0,7.0,10.0,,13.0,11.0,9.0,12.0,15.0,,25.0,14.0,22.0,,19.0,21.0,18.0,,20.0,,,,,,6.0,,,17.0,,16.0,,23.0,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/8/2007,0.0,2.0,1.0,5.0,3.0,4.0,,6.0,,12.0,11.0,7.0,9.0,,,,14.0,,,19.0,17.0,,,18.0,,,,,,8.0,,,,,15.0,10.0,13.0,16.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2007,1.0,,2.0,6.0,4.0,3.0,8.0,5.0,13.0,10.0,9.0,7.0,11.0,16.0,,,,,,17.0,18.0,14.0,20.0,19.0,,,,,,,,,,,15.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/11/2009,,,2.0,5.0,,3.0,,6.0,,11.0,,4.0,,,,,,,,7.0,,12.0,,,,1.0,8.0,9.0,10.0,13.0,14.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2009,,,3.0,4.0,,2.0,,6.0,,12.0,,5.0,,,,,,,,9.0,,15.0,,,,1.0,7.0,,8.0,10.0,11.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/2009,,,1.0,5.0,,4.0,,7.0,,12.0,,3.0,14.0,,,,,,,13.0,,11.0,,,,2.0,14.0,,6.0,8.0,10.0,15.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/20/2009,,,2.0,7.0,9.0,4.0,,10.0,,14.0,,3.0,,,,,,,,,,12.0,,,,1.0,5.0,13.0,6.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,
12/4/2009,,,1.0,10.0,,2.0,,11.0,,14.0,,5.0,,,,,,,,,,,,,,,8.0,15.0,3.0,,4.0,12.0,,,,,,,,,,,,,,,9.0,,7.0,,,,,,,,,,,,,,,,,,6.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,
4/13/2010,,,1.0,9.0,,11.0,,12.0,,14.0,,2.0,,,,,,,,,,,,,,,13.0,4.0,6.0,,3.0,8.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,15.0,,,,,,,5.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7/14/2010,,,2.0,14.0,7.0,5.0,,13.0,,15.0,,6.0,,,,,,,,,,,,,,,9.0,1.0,12.0,17.0,3.0,,,,,,,,,,,,,,,,11.0,,,,,,20.0,,,,16.0,,,,,,4.0,18.0,,10.0,8.0,,,,,19.0,,,,,,,,,,,,,,,,,,,,,
4/18/2011,,,2.0,,,4.0,,6.0,,11.0,,,,,,,,,,,,,,,,,,,7.0,,1.0,8.0,,,,,,,,15.0,,,,,,,9.0,,,,,,13.0,,3.0,14.0,,,,,,,,,,10.0,5.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,
8/3/2011,,,3.0,,12.0,,,11.0,,13.0,,,,,,,,,,,,,,,,,7.0,,5.0,,1.0,10.0,,,,,,,,15.0,,,8.0,,,,,,,,,,,,,,,,,,,,4.0,,,6.0,2.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
2/7/2012,,,3.0,,,,,7.0,,10.0,,,,,,,,,,,,,,13.0,,,8.0,,5.0,,1.0,,,,,,,,,11.0,,,,12.0,,,4.0,,,,,,14.0,,,15.0,,,,,,,,,,9.0,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,
4/10/2012,,,,,,,,,,9.0,,,,,,,,,,,,,,10.0,,,,,3.0,,1.0,,,,,,,,,8.0,,,,,,,6.0,,,,,,,,,,,,,,,,5.0,,,4.0,2.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,
8/23/2012,,,,,8.0,,,,,13.0,,,,,,,,,,,,,,,,,14.0,,12.0,,2.0,,,,,,1.0,,,10.0,,,,,,5.0,9.0,,,,,,,,,,,15.0,,,,,4.0,,,,3.0,7.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,
1/22/2013,,,,,10.0,,,,,15.0,,,,,,,,,,,,,,18.0,,,6.0,,12.0,,1.0,,,,,,3.0,,,9.0,20.0,19.0,,,11.0,,8.0,,,,13.0,,17.0,,,,,16.0,,,,,2.0,,,5.0,4.0,7.0,,,,14.0,,,,,,,,,,,,,,,,,,,,,
1/6/2013,,,10.0,,,,,,,20.0,,,,,,,,,,,,,,18.0,,,7.0,,9.0,,2.0,15.0,,,,,3.0,,,14.0,17.0,,13.0,,,,11.0,,,,5.0,19.0,16.0,,,,,,,,,,1.0,,,8.0,4.0,6.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,
9/22/2013,,,6.0,,13.0,,,,,17.0,,,,,,,,,,,,,,,,,9.0,,5.0,,3.0,,,,,,4.0,,,16.0,7.0,19.0,11.0,,,,8.0,,,,10.0,15.0,14.0,,,,,20.0,,,,,1.0,,,12.0,2.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,
5/15/2014,,,8.0,,,,,18.0,,12.0,,,,,,,,,,,,,,,,,10.0,,4.0,,2.0,,,,,,,,,9.0,6.0,,,,,,5.0,,,,7.0,13.0,15.0,14.0,,,,19.0,,,16.0,20.0,3.0,,,11.0,1.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,
9/23/2014,,,7.0,,,,,,,16.0,,,,,,,,,,,,,,,,,18.0,,4.0,,2.0,,,,,,,,,5.0,6.0,15.0,11.0,,,,8.0,,,20.0,12.0,17.0,14.0,13.0,,,,,,,,,1.0,,19.0,9.0,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,
1/15/2015,,,10.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,9.0,,2.0,,,,,,,,,8.0,6.0,17.0,11.0,,,,12.0,16.0,,18.0,,14.0,13.0,5.0,4.0,,,,,,,20.0,3.0,,,,1.0,,,7.0,19.0,,,,,,,,,,,,,,,,,,,,,,
6/1/2015,,,10.0,17.0,,,,,,15.0,,,,,,,,,,,,,,,,,20.0,,5.0,,3.0,,,,,,,,,6.0,7.0,,,,,,12.0,16.0,,13.0,,,11.0,4.0,,,,,,,,14.0,1.0,,9.0,,2.0,,,8.0,18.0,,19.0,,,,,,,,,,,,,,,,,,,,
6/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,13.0,,3.0,,,,,,,,,,7.0,,,,,,10.0,,,,,,16.0,,5.0,,,,,,,9.0,4.0,,14.0,,1.0,,,11.0,,,18.0,2.0,6.0,8.0,12.0,15.0,17.0,19.0,,,,,,,,,,,,,
11/1/2016,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,14.0,,3.0,,,,,,5.0,,,,7.0,,,,,12.0,17.0,,,,,,19.0,6.0,,,,,,,,8.0,2.0,,16.0,,1.0,,,24.0,25.0,,20.0,4.0,18.0,9.0,10.0,11.0,15.0,21.0,13.0,22.0,,,,,,,,,,,
5/1/2017,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,15.0,,2.0,,,,,,,,,,6.0,,,,,11.0,19.0,,,,,,18.0,4.0,,,,,,,,7.0,1.0,,12.0,,,,,,,,,5.0,14.0,,,9.0,10.0,8.0,13.0,16.0,3.0,20.0,,,,,,,,,
11/1/2017,,,19.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,,12.0,,1.0,,,,,,,,,21.0,6.0,,,,,11.0,,,,,,,13.0,,,,,,,,,10.0,2.0,,15.0,,,,,,18.0,,,4.0,8.0,9.0,,,5.0,14.0,,7.0,3.0,17.0,16.0,20.0,22.0,23.0,24.0,,,,
4/1/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,1.0,,,,,,,,,,11.0,,,,,13.0,,,,,,,,,8.0,,,,,,,9.0,2.0,,7.0,,,,,,20.0,,,12.0,6.0,4.0,,,10.0,,,5.0,3.0,,,,,16.0,,14.0,15.0,18.0,19.0
